    QX			QY	     T ( MeV )
    3.67188e+00     1.33691e+00     1.10000e+01 
    3.69141e+00     1.31348e+00     1.20000e+01 
    3.70117e+00     1.31348e+00     1.30000e+01 
    3.70898e+00     1.32227e+00     1.40000e+01 
    3.71680e+00     1.33301e+00     1.50000e+01 
    3.72070e+00     1.34180e+00     1.60000e+01 
    3.72363e+00     1.34961e+00     1.70000e+01 
    3.73340e+00     1.35547e+00     1.80000e+01 
    3.74023e+00     1.36035e+00     1.90000e+01 
    3.74707e+00     1.36523e+00     2.00000e+01 
    3.74023e+00     1.36914e+00     2.10000e+01 
    3.75098e+00     1.37207e+00     2.20000e+01 
    3.76074e+00     1.37500e+00     2.30000e+01 
    3.74902e+00     1.37793e+00     2.40000e+01 
    3.76465e+00     1.37891e+00     2.50000e+01 
    3.76758e+00     1.37988e+00     2.60000e+01 
    3.76562e+00     1.37988e+00     2.70000e+01 
    3.77539e+00     1.37988e+00     2.80000e+01 
    3.77051e+00     1.37988e+00     2.90000e+01 
    3.77832e+00     1.37891e+00     3.00000e+01 
    3.77441e+00     1.37891e+00     3.10000e+01 
    3.78223e+00     1.37793e+00     3.20000e+01 
    3.77930e+00     1.37891e+00     3.30000e+01 
    3.78027e+00     1.37891e+00     3.40000e+01 
    3.78125e+00     1.37988e+00     3.50000e+01 
    3.77832e+00     1.38086e+00     3.60000e+01 
    3.78613e+00     1.38184e+00     3.70000e+01 
    3.78320e+00     1.38281e+00     3.80000e+01 
    3.78516e+00     1.38477e+00     3.90000e+01 
    3.78320e+00     1.38574e+00     4.00000e+01 
    3.78418e+00     1.38770e+00     4.10000e+01 
    3.78809e+00     1.38867e+00     4.20000e+01 
    3.78613e+00     1.39062e+00     4.30000e+01 
    3.78516e+00     1.39160e+00     4.40000e+01 
    3.78906e+00     1.39160e+00     4.50000e+01 
    3.78809e+00     1.39160e+00     4.60000e+01 
    3.78809e+00     1.39062e+00     4.70000e+01 
    3.79004e+00     1.38867e+00     4.80000e+01 
    3.78809e+00     1.38574e+00     4.90000e+01 
    3.79102e+00     1.38281e+00     5.00000e+01 
    3.79199e+00     1.37891e+00     5.10000e+01 
    3.79004e+00     1.37402e+00     5.20000e+01 
    3.79785e+00     1.36914e+00     5.30000e+01 
    3.79688e+00     1.36426e+00     5.40000e+01 
    3.79785e+00     1.36035e+00     5.50000e+01 
    3.79785e+00     1.35742e+00     5.60000e+01 
    3.80176e+00     1.35352e+00     5.70000e+01 
    3.80078e+00     1.35254e+00     5.80000e+01 
    3.79785e+00     1.35254e+00     5.90000e+01 
    3.80273e+00     1.35352e+00     6.00000e+01 
    3.80371e+00     1.35547e+00     6.10000e+01 
    3.79785e+00     1.35742e+00     6.20000e+01 
    3.79199e+00     1.36035e+00     6.30000e+01 
    3.79785e+00     1.36426e+00     6.40000e+01 
    3.80176e+00     1.36816e+00     6.50000e+01 
    3.79688e+00     1.37207e+00     6.60000e+01 
    3.79004e+00     1.37500e+00     6.70000e+01 
    3.79004e+00     1.37695e+00     6.80000e+01 
    3.79980e+00     1.37988e+00     6.90000e+01 
    3.79688e+00     1.38086e+00     7.00000e+01 
    3.79004e+00     1.38281e+00     7.10000e+01 
    3.78711e+00     1.38281e+00     7.20000e+01 
    3.79492e+00     1.38281e+00     7.30000e+01 
    3.79590e+00     1.38184e+00     7.40000e+01 
    3.79395e+00     1.38086e+00     7.50000e+01 
    3.79102e+00     1.37988e+00     7.60000e+01 
    3.78906e+00     1.37891e+00     7.70000e+01 
    3.79688e+00     1.37695e+00     7.80000e+01 
    3.79590e+00     1.37500e+00     7.90000e+01 
    3.79492e+00     1.37305e+00     8.00000e+01 
    3.79199e+00     1.37109e+00     8.10000e+01 
    3.79004e+00     1.36816e+00     8.20000e+01 
    3.79688e+00     1.36621e+00     8.30000e+01 
    3.79785e+00     1.36328e+00     8.40000e+01 
    3.79688e+00     1.36133e+00     8.50000e+01 
    3.79492e+00     1.35840e+00     8.60000e+01 
    3.79297e+00     1.35645e+00     8.70000e+01 
    3.79590e+00     1.35352e+00     8.80000e+01 
    3.79980e+00     1.35059e+00     8.90000e+01 
    3.79688e+00     1.34766e+00     9.00000e+01 
    3.79688e+00     1.34473e+00     9.10000e+01 
    3.79590e+00     1.34180e+00     9.20000e+01 
    3.79395e+00     1.33887e+00     9.30000e+01 
    3.79688e+00     1.33594e+00     9.40000e+01 
    3.79883e+00     1.33301e+00     9.50000e+01 
    3.79590e+00     1.33008e+00     9.60000e+01 
    3.79590e+00     1.32715e+00     9.70000e+01 
    3.79590e+00     1.32422e+00     9.80000e+01 
    3.79492e+00     1.32129e+00     9.90000e+01 
    3.79688e+00     1.31836e+00     1.00000e+02 
    3.79785e+00     1.31543e+00     1.01000e+02 
    3.79492e+00     1.31250e+00     1.02000e+02 
    3.79590e+00     1.30859e+00     1.03000e+02 
    3.79688e+00     1.30566e+00     1.04000e+02 
    3.79492e+00     1.30273e+00     1.05000e+02 
    3.79492e+00     1.29980e+00     1.06000e+02 
    3.79590e+00     1.29688e+00     1.07000e+02 
    3.79492e+00     1.29297e+00     1.08000e+02 
    3.79395e+00     1.29004e+00     1.09000e+02 
    3.79492e+00     1.28711e+00     1.10000e+02 
    3.79590e+00     1.28418e+00     1.11000e+02 
    3.79297e+00     1.28027e+00     1.12000e+02 
    3.79395e+00     1.27734e+00     1.13000e+02 
    3.79395e+00     1.27441e+00     1.14000e+02 
    3.79199e+00     1.27148e+00     1.15000e+02 
    3.79102e+00     1.26855e+00     1.16000e+02 
    3.79297e+00     1.26562e+00     1.17000e+02 
    3.79395e+00     1.26270e+00     1.18000e+02 
    3.79199e+00     1.25977e+00     1.19000e+02 
    3.79102e+00     1.25781e+00     1.20000e+02 
    3.78906e+00     1.25488e+00     1.21000e+02 
    3.78809e+00     1.25195e+00     1.22000e+02 
    3.78516e+00     1.24902e+00     1.23000e+02 
    3.78516e+00     1.24609e+00     1.24000e+02 
    3.78418e+00     1.24316e+00     1.25000e+02 
    3.78320e+00     1.24023e+00     1.26000e+02 
    3.77930e+00     1.23730e+00     1.27000e+02 
    3.77832e+00     1.23340e+00     1.28000e+02 
    3.77734e+00     1.22949e+00     1.29000e+02 
    3.77539e+00     1.22461e+00     1.30000e+02 
    3.77441e+00     1.21973e+00     1.31000e+02 
    3.77930e+00     1.21289e+00     1.32000e+02 
    3.78223e+00     1.20410e+00     1.33000e+02 
    3.78418e+00     1.19434e+00     1.34000e+02 
    3.78223e+00     1.18359e+00     1.35000e+02 
    3.78809e+00     1.17773e+00     1.36000e+02 
    3.79199e+00     1.18066e+00     1.37000e+02 
    3.79492e+00     1.19141e+00     1.38000e+02 
    3.79688e+00     1.20605e+00     1.39000e+02 
