Radius(cm)            Angle_hori   Z(cm)   Angle_vert  X   D=Brho/Broh0   Kinetic_Energy(MeV)  
4.4110186811849383E+02 0 0.0 0.0 0.0 0.261349 o 11
4.4346790592881376E+02 0 0.0 0.0 0.0 0.273043 o 12 
4.4564872122612087E+02 0 0.0 0.0 0.0 0.284267 o	13
4.4767539764238137E+02 0 0.0 0.0 0.0 0.295076 o	14
4.4956844917188442E+02 0 0.0 0.0 0.0 0.305513 o	15
4.5134475525741095E+02 0 0.0 0.0 0.0 0.315616 o	16
4.5301890919127214E+02 0 0.0 0.0 0.0 0.325415 o	17 
4.5460109211605425E+02 0 0.0 0.0 0.0 0.334938 o 18
4.5610187154925774E+02 0 0.0 0.0 0.0 0.344207 o 19
4.5752940433012844E+02 0 0.0 0.0 0.0 0.353242 o 20
4.5889028309645369E+02 0 0.0 0.0 0.0 0.362061 o 21
4.6018875931096744E+02 0 0.0 0.0 0.0 0.370679 o 22
4.6143512983922250E+02 0 0.0 0.0 0.0 0.37911 o  23 
4.6262977070026278E+02 0 0.0 0.0 0.0 0.387365 o 24
4.6377760869592095E+02 0 0.0 0.0 0.0 0.395457 o 25
4.6488444022181994E+02 0 0.0 0.0 0.0 0.403395 o 26
4.6594785915201203E+02 0 0.0 0.0 0.0 0.411187 o 27
4.6697858634617450E+02 0 0.0 0.0 0.0 0.418842 o 28
4.6797082434075094E+02 0 0.0 0.0 0.0 0.426368 o 29
4.6893514971715308E+02 0 0.0 0.0 0.0 0.433771 o 30
4.6986569631706038E+02 0 0.0 0.0 0.0 0.441057 o 31
4.7077180871361770E+02 0 0.0 0.0 0.0 0.448231 o 32
4.7165055339067248E+02 0 0.0 0.0 0.0 0.4553 o   33
4.7250517985920823E+02 0 0.0 0.0 0.0 0.462268 o 34 
4.7333376712277555E+02 0 0.0 0.0 0.0 0.46914 o  35
4.7414250881019143E+02 0 0.0 0.0 0.0 0.475919 o 36 
4.7493073177523422E+02 0 0.0 0.0 0.0 0.48261 o  37
4.7569678279553722E+02 0 0.0 0.0 0.0 0.489216 o 38 
4.7644730670743286E+02 0 0.0 0.0 0.0 0.495741 o 39
4.7718105743492021E+02 0 0.0 0.0 0.0 0.502187 o 40
4.7789670570126964E+02 0 0.0 0.0 0.0 0.508558 o 41
4.7859514298756960E+02 0 0.0 0.0 0.0 0.514857 o 42
4.7927759637904956E+02 0 0.0 0.0 0.0 0.521086 o 43
4.7994736541628578E+02 0 0.0 0.0 0.0 0.527248 o 44
4.8060226400366963E+02 0 0.0 0.0 0.0 0.533344 o 45
4.8124269297998973E+02 0 0.0 0.0 0.0 0.539378 o 46
4.8187170452640544E+02 0 0.0 0.0 0.0 0.545351 o 47
4.8248939989785032E+02 0 0.0 0.0 0.0 0.551265 o 48
4.8309646773625576E+02 0 0.0 0.0 0.0 0.557123 o 49
4.8368971972602469E+02 0 0.0 0.0 0.0 0.562925 o 50
4.8426918855450708E+02 0 0.0 0.0 0.0 0.568674 o 51
4.8483975603992843E+02 0 0.0 0.0 0.0 0.574371 o 52
4.8540145680302459E+02 0 0.0 0.0 0.0 0.580018 o 53
4.8595088364040390E+02 0 0.0 0.0 0.0 0.585616 o 54
4.8649138989458385E+02 0 0.0 0.0 0.0 0.591167 o 55
4.8702146957389334E+02 0 0.0 0.0 0.0 0.596671 o 56
4.8754397511888567E+02 0 0.0 0.0 0.0 0.602131 o 57
4.8806004043139740E+02 0 0.0 0.0 0.0 0.607547 o 58
4.8856895582656892E+02 0 0.0 0.0 0.0 0.61292 o  59
4.8906715378939901E+02 0 0.0 0.0 0.0 0.618252 o 60
4.8955564651547343E+02 0 0.0 0.0 0.0 0.623544 o 61
4.9003851678804125E+02 0 0.0 0.0 0.0 0.628796 o 62
4.9051474773191427E+02 0 0.0 0.0 0.0 0.63401 o  63
4.9098667999159846E+02 0 0.0 0.0 0.0 0.639187 o 64
4.9144870080055739E+02 0 0.0 0.0 0.0 0.644327 o 65
4.9190124918582615E+02 0 0.0 0.0 0.0 0.649432 o 66
4.9235214133806033E+02 0 0.0 0.0 0.0 0.654502 o 67
4.9279644612832647E+02 0 0.0 0.0 0.0 0.659538 o 68
4.9323642393750185E+02 0 0.0 0.0 0.0 0.66454 o  69
4.9367202457001542E+02 0 0.0 0.0 0.0 0.66951 o  70
4.9410079935571355E+02 0 0.0 0.0 0.0 0.674449 o 71
4.9452405567969100E+02 0 0.0 0.0 0.0 0.679356 o 72
4.9494030381447004E+02 0 0.0 0.0 0.0 0.684233 o 73
4.9535150657915983E+02 0 0.0 0.0 0.0 0.689081 o 74
4.9575710276818091E+02 0 0.0 0.0 0.0 0.693899 o 75
4.9615893445698117E+02 0 0.0 0.0 0.0 0.698688 o 76
4.9655811844592228E+02 0 0.0 0.0 0.0 0.70345 o  77
4.9694990284702300E+02 0 0.0 0.0 0.0 0.708184 o 78 
4.9733512140697815E+02 0 0.0 0.0 0.0 0.712892 o 79
4.9771647182087816E+02 0 0.0 0.0 0.0 0.717573 o 80
4.9809361297322744E+02 0 0.0 0.0 0.0 0.722228 o 81
4.9846658683304264E+02 0 0.0 0.0 0.0 0.726859 o 82
4.9883701746526964E+02 0 0.0 0.0 0.0 0.731464 o 83
4.9920515627613554E+02 0 0.0 0.0 0.0 0.736045 o 84
4.9956828783337130E+02 0 0.0 0.0 0.0 0.740602 o 85
4.9992523629361796E+02 0 0.0 0.0 0.0 0.745135 o 86
5.0027999913981057E+02 0 0.0 0.0 0.0 0.749646 o 87
5.0063052841583294E+02 0 0.0 0.0 0.0 0.754134 o 88
